type;target;actual;timestamp
歩数;5000.0;10,895;2022-04-23 00:00:00 +0000
歩数;5000.0;10,722;2022-04-22 00:00:00 +0000
歩数;5000.0;10,376;2022-04-18 00:00:00 +0000
歩数;5000.0;11,179;2022-04-17 00:00:00 +0000
歩数;5000.0;10,615;2022-04-16 00:00:00 +0000
歩数;5000.0;11,414;2022-04-15 00:00:00 +0000
歩数;5000.0;14,659;2022-04-14 00:00:00 +0000
歩数;5000.0;11,405;2022-04-13 00:00:00 +0000
歩数;5000.0;10,472;2022-04-12 00:00:00 +0000
歩数;5000.0;5,986;2022-03-30 00:00:00 +0000
歩数;10000.0;10,895;2022-04-23 00:00:00 +0000
歩数;10000.0;10,722;2022-04-22 00:00:00 +0000
歩数;10000.0;10,376;2022-04-18 00:00:00 +0000
歩数;10000.0;11,179;2022-04-17 00:00:00 +0000
歩数;10000.0;10,615;2022-04-16 00:00:00 +0000
歩数;10000.0;11,414;2022-04-15 00:00:00 +0000
歩数;10000.0;14,659;2022-04-14 00:00:00 +0000
歩数;10000.0;11,405;2022-04-13 00:00:00 +0000
歩数;10000.0;10,472;2022-04-12 00:00:00 +0000
目標;1.0;109%;2022-04-23 00:00:00 +0000
目標;1.0;107%;2022-04-22 00:00:00 +0000
目標;1.0;104%;2022-04-18 00:00:00 +0000
目標;1.0;112%;2022-04-17 00:00:00 +0000
目標;1.0;106%;2022-04-16 00:00:00 +0000
目標;1.0;114%;2022-04-15 00:00:00 +0000
目標;1.0;147%;2022-04-14 00:00:00 +0000
目標;1.0;114%;2022-04-13 00:00:00 +0000
目標;1.0;105%;2022-04-12 00:00:00 +0000
歩数;1.0;2;2022-04-22 00:00:00 +0000
歩数;1.0;7;2022-04-12 00:00:00 +0000
カロリー;1.0;2;2022-04-22 00:00:00 +0000
カロリー;1.0;7;2022-04-12 00:00:00 +0000
距離;1.0;2;2022-04-22 00:00:00 +0000
距離;1.0;7;2022-04-12 00:00:00 +0000
期間;1.0;3;2022-04-22 00:00:00 +0000
期間;1.0;7;2022-04-12 00:00:00 +0000
階数;1.0;2;2022-04-22 00:00:00 +0000
階数;1.0;10;2022-04-09 00:00:00 +0000
階数;1.0;3;2022-03-28 00:00:00 +0000
階数;1.0;2;2022-03-25 00:00:00 +0000
スーパーストリーク;1.0;2;2022-04-22 00:00:00 +0000
スーパーストリーク;1.0;7;2022-04-12 00:00:00 +0000
